year,id,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,target
2013,5013,256,475,417,515,538,405,141,287,537,443,1
2013,5014,31,64,61,230,1,9,7,8,365,289,1
2013,5015,26,56,111,27,72,37,63,374,107,183,0
2013,5016,377,144,40,432,503,390,36,191,508,523,1
2013,5017,245,208,351,422,539,187,465,193,258,131,0
2013,5018,162,483,447,104,325,438,486,505,498,540,0
2013,5019,17,192,122,103,176,353,196,424,511,410,1
2013,5020,473,436,541,175,542,77,76,490,510,257,0
2013,5021,225,3,155,91,437,374,107,63,183,37,1
2013,5022,205,156,260,115,65,68,480,355,14,543,0
2013,5023,46,132,426,253,298,69,108,106,109,343,1
2013,5024,169,23,371,544,363,56,26,27,111,72,1
2013,5025,257,77,510,76,490,81,234,434,10,20,1
2013,5026,450,494,335,491,545,465,131,193,187,258,1
2013,5027,59,306,317,57,495,390,36,315,191,508,1
2013,5028,52,55,413,43,309,505,438,498,486,467,0
2013,5029,9,289,7,365,8,301,513,356,376,39,0
2013,5030,475,256,538,417,515,192,17,122,103,176,0
2013,5031,459,276,21,499,13,196,353,511,424,410,1
2013,5032,473,175,436,542,541,3,155,91,437,225,1
2013,5033,160,142,133,148,124,1,61,31,230,64,1
2013,5034,81,234,434,10,20,544,169,23,371,363,1
2013,5035,260,205,115,65,156,104,325,483,447,162,1
2013,5036,355,480,68,543,14,108,69,106,109,343,0
2013,5037,27,26,24,111,56,132,426,46,298,253,0
2013,5038,465,131,193,258,187,353,424,196,511,410,1
2013,5039,405,443,537,287,141,9,7,546,8,289,0
2013,5040,53,190,202,143,435,245,208,351,422,539,1
2013,5041,31,1,64,61,230,390,36,315,508,191,1
2013,5042,192,17,122,176,103,292,473,542,175,436,0
2013,5043,486,438,467,505,498,169,544,371,23,363,0
2013,5044,374,107,183,63,37,491,494,335,545,450,1
2013,5045,356,301,376,513,39,417,256,475,515,538,1
2013,5046,77,510,490,76,257,3,437,91,225,155,1
2013,5047,426,132,46,298,253,355,68,480,547,543,0
2013,5048,160,142,124,148,133,377,432,40,503,144,1
2013,5049,317,548,495,306,549,260,205,65,115,156,1
2013,5050,351,245,208,539,422,13,459,276,499,21,1
2013,5051,81,434,234,10,20,48,55,413,400,309,0
2013,5052,56,26,27,111,24,447,162,104,483,325,1
2013,5053,377,409,40,432,200,124,160,133,142,148,0
2013,5054,53,190,202,435,224,276,21,459,13,499,0
2013,5055,1,61,64,31,230,115,65,205,260,156,1
2013,5056,69,108,106,109,343,3,437,225,155,91,1
2013,5057,107,374,183,63,37,371,169,544,23,363,1
2013,5058,510,76,77,490,257,465,193,258,131,383,1
2013,5059,424,353,410,196,511,68,480,355,543,14,1
2013,5060,426,132,298,46,253,475,256,417,538,515,0
2013,5061,192,17,122,103,176,495,306,317,548,549,1
2013,5062,81,234,20,434,10,539,351,208,422,245,1
2013,5063,390,36,315,191,508,162,447,483,104,325,1
2013,5064,494,491,545,335,550,65,260,205,156,115,0
2013,5065,52,188,55,413,309,465,193,258,131,383,1
2013,5066,9,7,8,546,289,537,405,443,287,141,1
2013,5067,61,1,64,230,31,53,190,435,224,202,1
2013,5068,438,486,505,467,498,315,390,36,508,191,0
2013,5069,356,301,513,376,39,108,69,106,109,343,0
2013,5070,276,13,499,21,459,548,317,393,306,495,1
2013,5071,436,292,473,175,551,377,40,432,503,409,0
2013,5072,107,374,127,183,552,351,208,34,422,539,1
2013,5073,91,3,437,225,155,27,111,56,26,24,1
2013,5074,424,410,353,196,511,447,162,325,483,104,1
2013,5075,68,355,543,480,14,461,475,515,538,417,1
2013,5076,426,132,298,46,253,257,77,510,490,76,1
2013,5077,17,192,176,103,122,20,81,434,234,10,0
2013,5078,23,544,169,371,363,132,298,426,46,253,0
2013,5079,548,306,317,495,393,53,190,202,435,224,0
2013,5080,405,141,537,287,443,301,356,376,513,39,0
2013,5081,52,55,309,413,48,31,1,93,64,230,0
2013,5082,9,7,8,546,289,377,432,40,409,503,0
2013,5083,142,124,160,133,148,374,552,107,37,183,1
2013,5084,69,108,109,106,343,438,498,486,505,467,1
2013,5085,459,13,276,499,21,131,465,193,258,383,1
2013,5086,541,542,436,175,473,504,545,494,491,550,1
2013,5087,81,434,234,10,20,104,162,483,447,325,1
2013,5088,260,205,65,115,156,475,515,417,256,538,1
2013,5089,196,353,511,424,410,490,76,77,510,370,0
2013,5090,36,390,508,191,315,3,225,155,91,437,1
2013,5091,26,111,27,56,24,68,355,480,543,547,1
2013,5092,465,131,193,531,258,405,537,141,443,287,1
2013,5093,351,208,34,521,539,432,377,40,409,503,0
2013,5094,494,545,491,335,550,107,374,37,183,552,1
2013,5095,17,192,122,103,176,276,13,459,387,499,1
2013,5096,438,486,498,505,467,483,447,104,162,325,1
2013,5097,356,301,376,39,513,9,7,8,365,164,0
2013,5098,437,384,155,91,225,205,115,156,260,65,1
2013,5099,23,169,544,371,363,510,76,524,490,257,0
2013,5100,480,68,355,543,547,315,36,390,508,191,0
2013,5101,53,190,202,435,224,317,548,495,306,211,1
2013,5102,132,426,46,298,253,55,52,188,309,413,1
2013,5103,106,69,108,109,343,1,61,31,64,230,1
2013,5104,234,81,434,20,10,475,515,256,417,538,1
2013,5105,56,111,26,27,24,196,410,353,22,511,1
2013,5106,377,144,40,432,503,301,356,39,376,513,0
2013,5107,351,34,208,273,539,3,91,225,437,155,0
2013,5108,162,104,447,483,325,81,234,434,20,10,0
2013,5109,17,192,223,122,103,9,365,7,8,164,0
2013,5110,486,438,467,505,498,1,61,230,31,64,0
2013,5111,107,374,37,552,183,276,13,459,553,499,0
2013,5112,260,156,205,115,65,390,315,36,508,191,1
2013,5113,169,544,371,23,363,48,413,55,309,52,0
2013,5114,494,550,335,545,491,287,405,443,141,537,1
2013,5115,465,193,131,531,258,351,34,208,539,273,0
2013,5116,548,317,211,495,306,160,142,133,148,124,0
2013,5117,53,190,202,435,224,417,475,256,538,515,1
2013,5118,410,196,217,353,204,23,371,544,363,169,0
2013,5119,56,27,26,111,554,76,77,510,468,490,0
2013,5120,377,40,144,432,200,555,447,483,104,325,0
2013,5121,365,8,7,9,164,225,3,91,437,155,1
2013,5122,486,438,505,498,467,542,473,436,541,175,1
2013,5123,356,301,376,513,39,193,465,531,258,131,1
2013,5124,276,13,553,499,481,494,491,335,550,545,0
2013,5125,81,234,434,10,20,108,106,69,109,343,0
2013,5126,107,374,127,37,170,537,443,141,287,405,1
2013,5127,115,260,205,65,156,17,192,122,103,176,0
2013,5128,543,68,480,355,547,52,309,48,413,188,1
2013,5129,132,426,298,46,253,1,31,61,64,230,1
2013,5130,190,202,53,435,224,7,242,365,8,164,1
2013,5131,77,490,76,510,370,160,142,148,133,124,0
2013,5132,36,508,390,315,191,1,31,230,93,64,0
2013,5133,193,258,131,465,531,107,374,127,63,37,1
2013,5134,377,144,432,40,200,3,91,225,437,155,1
2013,5135,447,483,104,325,555,211,317,306,59,495,0
2013,5136,13,276,499,553,481,543,68,355,480,547,0
2013,5137,541,175,473,542,436,81,234,434,20,10,0
2013,5138,108,106,69,109,343,142,160,148,133,124,1
2013,5139,169,371,23,544,363,486,498,438,505,467,1
2013,5140,424,196,353,511,410,55,52,309,188,413,0
2013,5141,27,26,56,111,554,65,205,115,156,260,1
2013,5142,9,164,7,365,8,34,208,351,539,273,1
2013,5143,463,287,141,405,500,3,91,225,452,92,0
2013,5144,494,491,545,335,550,69,108,109,106,343,0
2013,5145,256,417,475,515,538,107,63,127,374,37,0
2013,5146,356,301,376,39,513,541,436,473,542,175,1
2013,5147,136,77,510,76,370,390,315,36,508,191,1
2013,5148,426,132,298,253,46,17,122,103,192,176,1
2013,5149,65,205,260,156,115,1,31,230,64,93,0
2013,5150,160,142,133,124,148,465,131,193,531,258,1
2013,5151,34,208,351,539,273,59,317,306,495,549,1
2013,5152,432,377,40,144,200,417,256,475,538,515,1
2013,5153,424,353,86,196,204,53,190,202,435,143,0
2013,5154,81,234,434,10,20,68,355,543,480,547,1
2013,5155,104,447,325,555,483,9,7,164,8,365,1
2013,5156,23,169,371,544,363,192,17,176,122,103,1
2013,5157,56,26,27,554,111,438,505,486,498,467,1
2013,5158,491,494,335,550,545,301,356,39,376,513,1
2013,5159,463,405,500,287,141,131,193,258,465,531,0
2013,5160,413,309,55,43,52,59,317,495,306,211,1
2013,5161,69,108,109,106,343,315,36,390,508,191,0
2013,5162,107,374,127,63,37,355,68,480,543,547,0
2013,5163,510,76,77,370,136,132,426,298,253,46,0
2013,5164,3,91,225,92,452,486,505,498,467,438,1
2013,5165,377,40,432,144,200,351,208,34,539,273,1
2013,5166,542,292,473,436,175,142,160,148,124,133,0
